symbol,price,change_24h,volume,high_24h,low_24h,timestamp
BTC/USDT,87351.23,-0.676,11168371.2285179,89884.92,84856.07,2024-11-12 23:04:49
ETH/USDT,3224.41,-3.515,2949242.863438,3438.68,3205.29,2024-11-12 23:04:49
XRP/USDT,0.6708,10.493,1919268.1037,0.7396,0.5978,2024-11-12 23:04:49
BCH/USDT,417.6,-6.368,37076.8306,474.5,417.6,2024-11-12 23:04:49
LTC/USDT,74.11,-6.095,339780.90036,82.62,72.95,2024-11-12 23:04:49
BNB/USDT,607.07,-7.074,898388.95787,656.22,590.81,2024-11-12 23:04:49
ADA/USDT,0.5397,-8.448,875284.35372,0.65,0.5351,2024-11-12 23:04:49
BAT/USDT,0.1881,-4.904,14159.5552,0.2036,0.1833,2024-11-12 23:04:49
ETC/USDT,22.03,-5.41,53450.2114,24.55,21.61,2024-11-12 23:04:49
XLM/USDT,0.1289,12.087,508232.2227,0.1413,0.11,2024-11-12 23:04:49
ZRX/USDT,0.3646,-6.2,27031.3905,0.3997,0.3465,2024-11-12 23:04:49
DOGE/USDT,0.37781,3.575,14902608.9269113,0.43716,0.34,2024-11-12 23:04:49
ATOM/USDT,5.02,-10.581,41808.27831,5.816,5.02,2024-11-12 23:04:49
NEO/USDT,11.0,-10.859,23829.0514,12.45,11.0,2024-11-12 23:04:49
VET/USDT,0.02596,-6.719,202768.227249,0.0298,0.025,2024-11-12 23:04:49
QTUM/USDT,2.587,-6.336,8466.3609,2.876,2.586,2024-11-12 23:04:49
ONT/USDT,0.2032,-3.924,20163.3386,0.2176,0.1969,2024-11-12 23:04:49
KNC/USDT,0.4972,-6.365,4195.73953,0.5399,0.4784,2024-11-12 23:04:49
VTHO/USDT,0.0018,-11.111,109716.07712,0.002193,0.0018,2024-11-12 23:04:49
COMP/USDT,49.81,-5.376,9803.17319,55.92,47.32,2024-11-12 23:04:49
HNT/USDT,,,0.0,,,2024-11-12 23:04:49
MKR/USDT,1486.0,-2.237,18241.3399,1564.0,1434.0,2024-11-12 23:04:49
ONE/USDT,0.01412,-14.372,85433.923082,0.01658,0.01412,2024-11-12 23:04:49
BAND/USDT,1.227,-6.834,5336.6453,1.371,1.226,2024-11-12 23:04:49
STORJ/USDT,0.4756,-6.782,18204.7532,0.5203,0.4554,2024-11-12 23:04:49
BUSD/USDT,,,0.0,,,2024-11-12 23:04:49
UNI/USDT,8.51,-13.962,131789.67622,9.891,8.51,2024-11-12 23:04:49
SOL/USDT,203.95,-7.426,3551442.317228,224.53,203.11,2024-11-12 23:04:49
EGLD/USDT,30.39,-7.797,6607.8662,34.19,29.81,2024-11-12 23:04:49
PAXG/USDT,2551.0,-2.261,11793.0071,2610.0,2521.0,2024-11-12 23:04:49
OXT/USDT,0.0691,-4.952,2319.1475,0.0764,0.0674,2024-11-12 23:04:49
ZEN/USDT,8.7,-9.091,3561.0359,9.83,8.7,2024-11-12 23:04:49
FIL/USDT,4.015,-9.775,32829.59796,4.64,4.015,2024-11-12 23:04:49
AAVE/USDT,173.48,-10.24,95115.9398,193.49,172.84,2024-11-12 23:04:49
GRT/USDT,0.1821,-11.214,26008.8169,0.2085,0.1821,2024-11-12 23:04:49
SHIB/USDT,2.468e-05,-9.663,3255355.68783925,3.031e-05,2.435e-05,2024-11-12 23:04:49
CRV/USDT,0.2709,-4.411,8632.56819,0.2924,0.2631,2024-11-12 23:04:49
AXS/USDT,5.331,-7.88,5287.18058,5.956,5.208,2024-11-12 23:04:49
AVAX/USDT,32.56,-9.278,431596.1811,37.63,32.38,2024-11-12 23:04:49
CTSI/USDT,0.1372,-6.476,977.7112,0.1467,0.1352,2024-11-12 23:04:49
DOT/USDT,5.114,-8.022,862619.79531,6.3,5.084,2024-11-12 23:04:49
YFI/USDT,6308.0,-7.805,4545.83749,6842.0,6022.0,2024-11-12 23:04:49
1INCH/USDT,0.2891,-7.458,10955.72553,0.3181,0.284,2024-11-12 23:04:49
FTM/USDT,0.7095,-13.969,155707.988,0.835,0.7095,2024-11-12 23:04:49
USDC/USDT,0.9985,0.05,564959.0741,1.0027,0.9902,2024-11-12 23:04:49
MATIC/USDT,0.3807,-9.723,197514.98533,0.443,0.3767,2024-11-12 23:04:49
MANA/USDT,0.3438,-7.878,35591.6227,0.3959,0.3438,2024-11-12 23:04:49
ALGO/USDT,0.1469,-5.954,72982.032,0.1637,0.142,2024-11-12 23:04:49
LINK/USDT,13.49,-8.542,195673.84886,15.36,13.38,2024-11-12 23:04:49
EOS/USDT,0.5507,-3.555,14435.90719,0.5972,0.5373,2024-11-12 23:04:49
ZEC/USDT,39.27,-8.312,11586.43089,44.38,39.27,2024-11-12 23:04:49
ENJ/USDT,0.1592,-6.463,34903.41847,0.1826,0.1552,2024-11-12 23:04:49
NEAR/USDT,5.213,-7.979,276943.9326,5.692,4.95,2024-11-12 23:04:49
OMG/USDT,,,0.0,,,2024-11-12 23:04:49
SUSHI/USDT,0.766,-9.349,56795.4522,0.87,0.737,2024-11-12 23:04:49
LRC/USDT,0.143,1.49,2187.9143,0.1544,0.1387,2024-11-12 23:04:49
LPT/USDT,10.857,-14.994,21371.40761,12.808,10.727,2024-11-12 23:04:49
POLY/USDT,,,0.0,,,2024-11-12 23:04:49
NMR/USDT,15.11,-10.38,3091.8657,17.19,15.11,2024-11-12 23:04:49
SLP/USDT,0.002748,-10.605,12118.672226,0.003586,0.002748,2024-11-12 23:04:49
ANT/USDT,11.412,23.587,8299.0939,11.412,9.202,2024-11-12 23:04:49
CHZ/USDT,0.0647,-9.637,4660.0798,0.0729,0.0646,2024-11-12 23:04:49
OGN/USDT,0.0856,0.0,1102.265,0.1093,0.0856,2024-11-12 23:04:49
GALA/USDT,0.02572,-7.248,102063.90006,0.03166,0.02558,2024-11-12 23:04:49
TLM/USDT,0.01108,-8.278,447.88993,0.01215,0.01089,2024-11-12 23:04:49
SNX/USDT,1.576,-5.288,2460.274,1.718,1.436,2024-11-12 23:04:49
AUDIO/USDT,0.1322,-10.068,2061.89869,0.1501,0.132,2024-11-12 23:04:49
ENS/USDT,17.2,-13.043,32386.2541,20.28,16.94,2024-11-12 23:04:49
REQ/USDT,0.1016,-5.751,1287.9425,0.1095,0.0949,2024-11-12 23:04:49
APE/USDT,1.068,-8.562,31366.38243,1.236,1.033,2024-11-12 23:04:49
FLUX/USDT,0.5658,-11.566,32541.120063,0.6398,0.5588,2024-11-12 23:04:49
TRX/USDT,,,0.0,,,2024-11-12 23:04:49
COTI/USDT,0.10257,-6.337,4114.64497,0.11556,0.0978,2024-11-12 23:04:49
VOXEL/USDT,0.1597,-8.113,185.20047,0.1796,0.1584,2024-11-12 23:04:49
RLC/USDT,1.775,-3.005,1552.2993,1.907,1.683,2024-11-12 23:04:49
UST/USDT,,,0.0,,,2024-11-12 23:04:49
BICO/USDT,0.2586,-5.448,2412.843045,0.2808,0.2527,2024-11-12 23:04:49
API3/USDT,1.574,-13.516,1624.90391,1.82,1.574,2024-11-12 23:04:49
BNT/USDT,0.651,-2.691,598.2198,0.669,0.552,2024-11-12 23:04:49
IMX/USDT,1.273,-11.536,102677.88343,1.714,1.256,2024-11-12 23:04:49
SPELL/USDT,,,0.0,,,2024-11-12 23:04:49
JASMY/USDT,,,0.0,,,2024-11-12 23:04:49
FLOW/USDT,0.59,-4.065,1315.56782,0.656,0.584,2024-11-12 23:04:49
